2026-09-16 18:56:33 | ALERT | Source IP: 192.168.1.20 | Port: 23 | Service: Telnet
2026-09-16 18:56:35 | ALERT | Source IP: 192.168.1.40 | Port: 445 | Service: SMB
2026-09-16 22:29:34 | ALERT | Source IP: 192.168.1.20 | Port: 23 | Service: Telnet
2026-09-16 22:29:36 | ALERT | Source IP: 192.168.1.40 | Port: 445 | Service: SMB
2026-09-16 22:35:54 | ALERT | Source IP: 192.168.1.100 | Port: 22 | Service: SSH
2026-09-16 22:36:43 | ALERT | Source IP: 192.168.1.100 | Port: 22 | Service: SSH
2026-09-16 22:36:44 | ALERT | Source IP: 192.168.1.20 | Port: 23 | Service: Telnet
2026-09-16 22:36:46 | ALERT | Source IP: 192.168.1.40 | Port: 445 | Service: SMB
2026-09-16 22:40:54 | ALERT | Source IP: 192.168.1.100 | Port: 22 | Service: SSH
2026-09-16 22:40:55 | ALERT | Source IP: 192.168.1.20 | Port: 23 | Service: Telnet
2026-09-16 22:40:58 | ALERT | Source IP: 192.168.1.40 | Port: 445 | Service: SMB
